"Sõne","keel","Hääldus"
"Afganistan","","Afganistaan"
"Afganistani-Iraani","","Afganistaani-'Iraani"
"Afganistani-Nõukogude","",""
"Afganistani-Pakistani","","Afganistaani-'Pakistani"
"Afganistani-sõidu","",""
"Afganistani-strateegia","","Afganistaani-strateegia"
"Afganistani-vägede","",""
"AfganistaniPakistani","",""
"AFLi","",""
"Afonini","","+"
"Afonius","","Afoonius"
"Afra","",""
"Africa","en","äfrika"
"African","en","äfrican"
"Afrikaani","",""
"Afrini","",""
"Afrique","",""
"Afrodisiaakumid","",""
"Afrojack","",""
"Afsluidijk'i","",""
"Aftenposteni","",""
"Aftenpostenist","",""
"After","",""
"Afton","","+"
"Aftonposteni","",""
"AG","",""
"aga'd","",""
"aga'sid","",""
"Aga-khaan","",""
"Agadir","","Aga'dir"
"Agadoo","",""
"Agafia","",""
"Agafja","",""
"Agai","",""
"Agai-aka","",""
"Again","en","äg'en"
"Agala","","agaala"
"Agamemnon","","Agame'mnon"
"Aganil","",""
"Agard","",""
"Agaricus","","Agaaricus"
"Agarofoobia","",""
"Agassi","",""
"Agatha","","agaadha"
"agathachristie'lik","","agaadha kri'stilik"
"Agathe","","Ag'aate"
"Agathon","",""
"aga…","",""
"Agban","","Ag'ban"
"Agcole","","äkol"
"Agda","",""
"age","en","eidž"
"äge","","+"
"age'ilikku","",""
"age'iliku","",""
"Agelesse","",""
"Agematsu","",""
"Agenda","en","adsenda"
"Agendijuht","",""
"Agenis","",""
"Agenor","","+"
"Agentuuridevaheline","",""
"Agentuuritöö","",""
"Agentuuritüdruk","",""
"Agergård","",""
"Aggar","",""
"Agger","",""
"Aggie","","ägi"
"Aggo","",""
"Aggregates","en","ägrigeits"
"Aggy","","ägi"
"Aghlabidi","",""
"Agiarraluitis","",""
"Agil","en","ädsil"
"agility's","",""
"Agincourt","","äginkoort"
"Aginskoje","","Ag'inskoje"
"Agios","","ägios"
"AGIRC","",""
"Agishi","","+"
"Agit-Prop","",""
"Agitator","",""
"Agiteesid","",""
"Aglaja","",""
"Aglaophyton'itena","",""
"Aglaškale","",""
"Aglianicot","","agliaanikot"
"Agnelli","","+"
"Agnes","","+"
"Agnessa","","+"
"Agneta","","+"
"Agnetha","",""
"Agnieszka","",""
"Agnipath","",""
"Agnus","","+"
"Ago","","+"
"Agonaalne","",""
"Agor","","+"
"Agorafoobik","",""
"Agostinho","","Agos'tinjo"
"Agostini","",""
"Agostino","","Agostiino"
"Agra","","Aagra"
"Agrafena","",""
"Ågrenska","","+"
"Ågrenska-kogemus","","+"
"Agressiivsusgeeni","",""
"Agri","","+"
"Agrippa","","+"
"Agritech","","+"
"AgroParisTechi","",""
"Agrostar","",""
"Agua","",""
"Aguacalientes","",""
"Aguascalientes","",""
"Aguero","",""
"Aguerro","","Agu'erro"
"Aguga","",""
"Aguilar","","agilar"
"Aguilera","","agileera"
"Aguis","",""
"Agule","",""
"Aguliromantika","",""
"Agur","","+"
"Agustin","","Agus'tin"
"AH-64d","",""
"Ah-jah-jah","",""
"Ah-Shababi","",""
"Ah-soo","",""
"Ahaa-hetkel","",""
"Ahabit","",""
"Ähäh","",""
"Aharon","",""
"Aharonot","","Ahaaronot"
"Ahbez","","+"
"ahelmõrvad…","",""
"Ahh","",""
"Ahhaadikas","",""
"Ahhaadikat","",""
"Ahitofel","","+"
"Ahituuv","",""
"Ahjah-Wright","",""
"Ahlemi","","+"
"Ahlert-ESnyder","",""
"Ahlfors","",""
"Åhlman","","oolman"
"Ahlström","","aalström"
"Ahmad","","+"
"Ahmadabad","","Ahmadabaad"
"Ahmadinejad","","Ahmaadinejad"
"Ahmadovitš","","Ahmaadovitsh"
"Ahmatova","","Ahmaatova"
"AHMATOVAST","",""
"Ahmed","","+"
"Ahmedabadis","","Ahmed'abadis"
"Ahmedov","","Ahmeedov"
"Ahmet","","+"
"Ahnade","",""
"Ahnale","",""
"Ahnitsemisiha","",""
"Aho","","+"
"Ahol","",""
"Ahonen","","+"
"Ahsfordly","en","äshfordli"
"Ahtar","",""
"Ahti","","+"
"Ahtiainen","","+"
"Ahtisaari","","+"
"Ahtme","","+"
"Ahto","","+"
"Ahtõrtsev","",""
"Ai-ai","",""
"Ai-ai-ai","",""
"Ai-ai-ai-ai","",""
"Ai-jaa","",""
"Aia-lugu","",""
"Aibek","",""
"AICHA","","aikha"
"Aicher","","Aihher"
"Aid","en","eid"
"Aidai","",""
"Aidan","en","eidan"
"Aiden","en","eiden"
"Aidenfield","","eidenfiild"
"Aidengi","",""
"Aideni-sugustel","en","eideni-sugustel"
"Aidenilegi","en","eidenilegi"
"Aidensfeld","","eidensfeld"
"Aidensfied","","eidensfiid"
"Aidensfiedli","","eidensfiidli"
"Aidensfiel","","eidensfiil"
"Aidensfield","","eidensfiild"
"AIDENSFIELDIS","","eidensfiildis"
"Aidensfieldsi","","eidensfiildsi"
"Aidensfild","","eidensfild"
"Aidese","",""
"Aidesfieldi","","eidesfiildi"
"Aidfensfieldi","","eidfensfiild"
"Aidla","","+"
"AIDS-i","",""
"AIDS-ist","",""
"Aiello","",""
"Aig","","+"
"Aigar","","+"
"Aigars","","+"
"Aigioni","",""
"Aigle'i","en","eigli"
"Aigulja","",""
"Äikäs","",""
"Aiken","",""
"Aiki","","+"
"Aikido","",""
"Aile","","+"
"Aili","","+"
"Ailsa","","Eilsa"
"Ailu","","+"
"Aimar","","+"
"Aimsile","",""
"Aimz","","+"
"Ain't","en","eint"
"Ainar","","+"
"Aini","",""
"Ainil","","+"
"Ainoga","","+"
"Ainol","","+"
"Ainsley","","einsli"
"Ainsty","",""
"Ainswick","","Eins'vik"
"Ainsworth","","Eins'voof"
"Aintree","en","eintrii"
"aiol'i","","+"
"aioli't","","+"
"Aiolos","","aioolos"
"AIPAC","","+"
"Aipin","",""
"Aipolovos","","aipoolovos"
"Air","","eer"
"airbag","","eerbääg"
"Airbus","","eerbass"
"Aircraft","",""
"airedale'i","",""
"Airey","","Eeri"
"Airika","","+"
"Airikesega","","+"
"Airis","","Eeris"
"Airlines","","eerlains"
"AirMedic","","eermeedik"
"Airobrne","",""
"Airplane","","eerplein"
"Airways","","eervueis"
"Airy","",""
"AIS-i","","+"
"Aischylos","","aishülos"
"Aisenbergi","",""
"Aisgilli","","+"
"Aisha","","aisha"
"Aishwarya","","aisvaaria"
"Aislaby","","ailabi"
"Aisling","","ailing"
"Aisopos","","+"
"Aissa","",""
"Aissawa","","+"
"Aisy","","eisi"
"Aitaaaab","","+"
"Aitab-aitab","","+"
"Äitäh","","+"
"Aitäh-aitäh","","+"
"Aitikejev","",""
"Aitken","","+"
"Aitolia","","Etoliia"
"Aitor","",""
"Aitsam","","+"
"Äiu-ää","",""
"Äiu-äiu","","+"
"Aivar","","+"
"Aivazovski","","+"
"Aivo","","ai'vo"
"Aix-en-Provence","","eex en provääns"
"Aix-les-Bains'i","",""
"Aixi","","eexi"
"AIYAR","","aijar"
"Aiz","",""
"AJ","en","eidjei"
"ajakirjaleWave","",""
"Ajakirjanduses)","","+"
"Ajaloo-ühiskonnaõpetuse","","+"
"Ajaloolis-sotsioloogiliselt","","+"
"Ajarova","","ajaroova"
"Ajastutruu","",""
"Ajatolla","","aja'tolla"
"Ajax","","+"
"Ajay","",""
"AJI","",""
"Ajin","",""
"Ajmal","","ashmal"
"AJS","",""
"Aju-uss","",""
"Aju-uuring","",""
"Aju-uuringule","",""
"Aju-uuringut","",""
"Ajuinteraktiivne","",""
"Ajuinteraktiivse","",""
"Ajukääbik","",""
"Ajumaan","",""
"Ajurveda","","ajurveeda"
"Ajurveeda","",""
"Ajuskaneering","",""
"Ajuskaneeringu","",""
"AK","",""
"AK-47","",""
"AK-47Kalašnikovi","",""
"AK-87t","",""
"AK-automaati","",""
"AK47","",""
"Akaba","","+"
"Akaboa","","+"
"Akademiskasse","",""
"Akaki","","+"
"Akakijevitš","","akakiijevitsh"
"Akari","",""
"Akasakas","","akaasakas"
"Akashi","",""
"Äkäslompolo","",""
"Akaya","",""
"Akazieni","",""
"Akbar","","+"
"akbiya'ks","",""
"Akcent","",""
"Åke","","Ooke"
"Åkerberg","",""
"Akerblom","",""
"Åkerlundi","","+"
"Akerman","",""
"Akers","",""
"Akhaldaba","","+"
"Akhalgori","","+"
"Akhgar","",""
"Akhmaji","","akhmaadsi"
"Akhterile","",""
"Akhundov","","+"
"AKIDA","","akiida"
"Akimi","",""
"Akimõtš","",""
"Akin","",""
"Akinci","","+"
"Akini","","aakini"
"Akio","",""
"Akira","","akiira"
"Akiva","",""
"Akka","","+"
"Akkadi","",""
"Akko","",""
"AKM-relv","",""
"Akmola","","Akmolaa"
"Aknad-uksed","","+"
"Ako","",""
"Akomodeerub","",""
"Akousa","","akuusa"
"AKP","",""
"Akram","","+"
"Akrediteerimata","",""
"Akron","","Äkron"
"Akros","","+"
"Akroyd","",""
"Aksakovi","",""
"Aksaray","","+"
"Aksel","","+"
"Akselgi","",""
"Aksion","",""
"Aksishirv","",""
"AKSK","",""
"Aksli","",""
"Aktau","","Akt'au"
"Aktiv","",""
"Aktivaatorit","",""
"Aktiveerimiskood","",""
"Aktivistid-feministid","",""
"Aktöbe","","Aktöbee"
"Aktonist","","+"
"Akufo-Addost","",""
"Akulina","","Akuulina"
"Akulov","","Akuulov"
"Akunin","","Akuunin"
"Akureyris","",""
"Akustika","","+"
"Akustiline","","+"
"Akustiliselt","","+"
"Akvaviti","",""
"AKZO","",""
"Al","en","äll"
"Al-'Alamayni","","all-ala'maini"
"al-Adawiya","",""
"al-Ahmad","",""
"Al-Alamaynis","",""
"Al-Anbar","",""
"Al-Antariah","",""
"Al-Aqsa","",""
"al-Arabi","","all-arabi"
"Al-Arabiya","",""
"al-Arefe","",""
"AL-ASSAD","","all-assaad"
"al-Azhari","","all-azhari"
"al-Azza","",""
"al-Baghdadile","",""
"al-Bahrayn","",""
"al-Bahri","",""
"al-Bakr","",""
"Al-Baqaashile","",""
"al-Bara","",""
"al-Barlaman","",""
"Al-Basra","",""
"Al-Basrah","","al-basra"
"AL-BAYANOUNI","","all-baja'nuni"
"al-Beshile","",""
"al-Britaaniks","",""
"al-Britaniga","",""
"al-Butairil","",""
"al-Diniga","",""
"al-Dulaimi","",""
"Al-Dunia","",""
"Al-Dunya","",""
"AL-EKRI","","all-ekri"
"Al-Faširis","","all-fashiiris"
"Al-Faw'","",""
"Al-Fayed","","+"
"AL-GALAL","",""
"al-Ghalib","",""
"AL-GURTANI","",""
"al-Hadi","",""
"Al-Hakim","","+"
"al-Hakrana","","all-hakraana"
"Al-Hamra","",""
"al-Hariri","","all-hariiri"
"Al-Hashmi","",""
"AL-HATEM","","+"
"Al-Hufuf","",""
"Al-Huryast","",""
"al-Islah","",""
"AL-ISLAM","","all-'islam"
"al-Jabali","",""
"Al-Jahwar","",""
"Al-Jazeera","","alljaseera"
"al-Kabariti","",""
"al-Kabiri","",""
"al-Kahfi","",""
"al-Karadi","","+"
"AL-KASSAR","","+"
"al-Khalifadest","",""
"AL-KHALIFAH","","alkhaliifa"
"AL-KHALILI","",""
"AL-KHATEEB","",""
"AL-KHAWAJA","","al-khavaaja"
"al-Kindi","",""
"al-Kuwaiti","",""
"Al-Kuwayt","","+"
"al-Majid","",""
"Al-Majidid","",""
"al-Maliki","",""
"Al-Maqial","","+"
"al-Masri","","+"
"al-Mastoume","",""
"AL-MNIFY","","al-mniifi"
"al-Mohammadi","",""
"AL-MOUSSAWI","","al-mussaavi"
"Al-Muhammarah'","",""
"AL-NAEMI","","al-naeemi"
"al-Nili","",""
"al-Nimr","",""
"al-Nu'manist","",""
"al-Nusra","",""
"al-Obaidi","","+"
"al-Omran","",""
"Al-Qaeda","","+"
"al-Qaeda-analüütik","",""
"al-Qaeda-taoliste","","+"
"al-Qaeda-vastaste","",""
"Al-Qaida","","+"
"al-Qaradawi","",""
"al-Qassami","","al-kassaami"
"Al-Qatifis","",""
"al-Qmed","",""
"AL-QURMEZI","","al-kurmeesi"
"AL-RAISH","",""
"Al-Rasheed","",""
"Al-Rastani","",""
"al-Ribh","",""
"AL-RIYAHI","",""
"al-Sabah","",""
"AL-SADR","",""
"al-Safi","",""
"al-Safwani","",""
"al-Said","",""
"al-Salameh'","",""
"al-Salamist","",""
"al-Saud","",""
"Al-Shabaab","",""
"al-Shabaabi","",""
"Al-Shabab","",""
"al-Shabadi-laadsete","",""
"AL-SHEIKLY","","+"
"al-Sherif","","al-sheriif"
"al-Shibh","",""
"AL-SHIEKHI","","al-shii'khi"
"al-Shifa","",""
"Al-Sisi","",""
"al-Taie","",""
"AL-TAJIR","","al-tashiir"
"Al-Tauhid","","al-tauhiid"
"al-Tawhid","",""
"al-Thani","",""
"al-Tikriti","",""
"Al-Tuwaithas","","al-tuvaitas"
"al-Vahhab","",""
"al-Walid","",""
"al-Zarqawi","","al-sar'kaavi"
"al-Zawahiri","","al-zavahiiri"
"al-Zawwan","","+"
"Ala-Tikkurila","",""
"ALAA","","+"
"Alaaniast","","+"
"Alabama","","alabaama"
"Aladag","","aladaag"
"Aladdini","","+"
"aladelt)","","+"
"Aladin","","+"
"Alagiah","","+"
"Alahuhta","","+"
"Alain","","älään"
"Alaister","",""
"Alajõe-juhtum","","+"
"Alakõhustooma","",""
"Alaksander","",""
"Alam-Austria","","alam-'austria"
"Alam-Deeris","","äläm-diiris"
"Alam-Lausitzis","",""
"Alam-Manhattan","",""
"Alam-Manhattani","",""
"Alam-Warden","","+"
"Alamaastme","","+"
"Alamayn","","+"
"Alamein","","alamain"
"Alamiri","","+"
"Alamiro","",""
"Alamo","",""
"Alamos","","+"
"Alamporutšik","",""
"Alamtõ","","+"
"Alan","","+"
"Alan","en","älän"
"Aland","","Ooland"
"Åland","","Ooland"
"Alandamisevärk","",""
"Alandh","","+"
"Alani-suguse","","+"
"ALANIS","","alaanis"
"Alanyasse","",""
"Alapajevski-Kalatši","",""
"Alar","",""
"Alard'i","",""
"Alari","","+"
"Alarico","",""
"Alarmsüsteem","","+"
"Alasdair","","alasdeer"
"Alaska","","+"
"Alaska-ajast","",""
"Alaska-küsitluse","",""
"Alaska-reisist","",""
"Alastair","","alaster"
"Alastor","",""
"Alatau","","Alat'tau"
"Alatskivi","",""
"Alaver","","+"
"Alaviidid","",""
"Alaviidide","","+"
"Alaviitide","","+"
"Alawi","","alaavi"
"Alažari","","alashaari"
"Alba","","+"
"ALBA-kaubandusekspressi","","+"
"Albaania","","+"
"Alban","","+"
"Albansis","",""
"Albansisse","",""
"Albany","","Oolbani"
"Albarello","",""
"ALBARN","",""
"ALBATS","","+"
"Albekovi","","albeekovi"
"Albena","",""
"Albeniz","",""
"Alber","",""
"Alberich","",""
"Albernaze","",""
"Albert","","+"
"Alberta","","+"
"Albertine","","Alber'tin"
"Alberto","","+"
"Albertslundist","",""
"Albertus","","+"
"Albertville","","Albertvill"
"Albie","","Älbi"
"Albinoni","","älbinoni"
"Albinootilise","",""
"Albion","","älbion"
"Albiston","","älbiston"
"Alborada","",""
"Ålborg","","olbor"
"Albrecht","","albreht"
"Albright","","olbrait"
"Albu","","+"
"Albumin","",""
"Albuquerque","","älbukörki"
"Albury","",""
"Alcaine","","al'kaine"
"Alcala","","+"
"Alcan","",""
"Alcatel","","alkat'el"
"Alcatraz","","+"
"Alcazár","",""
"Alcázari-kleit","",""
"Alceste","","'alcest"
"Alchesay","",""
"Alcide","","älsiid"
"Alcidese/Heraklese","",""
"Alcione","",""
"Alcmere","",""
"Alco-thorimax","",""
"Alcoa","",""
"Alcock","","'älcock"
"Alcohol","",""
"Alcotid","","älkotid"
"Alcottiga","","älkotiga"
"Alcyon","",""
"ALDA","",""
"Aldate","","Äldeit"
"Aldeburghi","",""
"Alden","","olden"
"ALDENI","","oldeni"
"Alder","","oolder"
"Alderbury","",""
"Alderby","",""
"Alderley","","oolderli"
"Alderly","",""
"Alderman","en","oolderman"
"Aldersgate","","ooldersgeit"
"Aldershot","","ooldershot"
"Alderthorpe","",""
"Alderton","","ooldertn"
"Aldin","","oldin"
"Aldo","",""
"Aldonza","",""
"Aldous","",""
"Aldredi","",""
"Aldrich","",""
"Aldridge","","Aldridž"
"Aldrin","",""
"Aldwychi","",""
"ale'i","",""
"Alec","","älek"
"Aleci-suguse","","äleki-suguse"
"Aleda","",""
"Aleem","",""
"Aleesha","","+"
"Alegre","","aleegre"
"Alegria","","Alegriia"
"Aleikum","","+"
"Aleister","","oleister"
"Alejandra","","Alehandra"
"Alejandro","","Alehandro"
"Aleje","","aleehe"
"Alejo","",""
"Alek","","+"
"Alekbar","","+"
"Alekos","",""
"Alekot","","+"
"ALEKSANDAR","","+"
"Aleksander","","+"
"Aleksandr","","Aleks'andr"
"Aleksandra","","+"
"Aleksandria","","+"
"Aleksandrov","","+"
"Aleksandrova","","+"
"Aleksandrovitš","","Alek'sandrovitš"
"Aleksandrovna","","Aleksaandrovna"
"ALEKSANJAN","","aleksaanjan"
"Aleksanterinkatu","","aleksanderingadu"
"Aleksas","",""
"ALEKSAŠENKO","","aleksashenko"
"Aleksaška","",""
"Aleksaškaga","",""
"Aleksei","","Aleks'ei"
"Aleksejev","",""
"Aleksejeva","","alekseejeva"
"Aleksejevitš","","Aleks'ejevitš"
"Aleksejevlased","",""
"Aleksejevna","","alekseejevna"
"Aleksejevski","",""
"Aleksi","","+"
"Aleksis","","al'eksis"
"Aleksius","","Al'eksius"
"Alen","","älen"
"Alentejo","",""
"Aleppo","","+"
"Aleppolane","","+"
"Aleppolased","","+"
"Alert","",""
"Alessandro","","Ales'sandro"
"Alessi","",""
"Alessia","","+"
"Alessio","","+"
"Ålesund","","Oolesund"
"Alex","","+"
"Alexander","","+"
"Alexanderplatz","","+"
"ALEXANDR","","+"
"Alexandra","","+"
"Alexandre","","+"
"Alexandri","","+"
"Alexandrium","",""
"Alexandru","","+"
"Alexei","","Alex'ei"
"Alexela","","+"
"Alexi-suguste","","+"
"Alexia","","al'exia"
"Alexis","","al'exis"
"Alf","en","älf"
"Alf","","+"
"ALF-i","","+"
"Alfa-3","","alfa 3"
"Alfa-lainete","","+"
"Alfa1","",""
"Alferi","",""
"Alfeuse","","+"
"Alfie","","älfi"
"Alfigi","","älfigi"
"Alfinse","","älfins"
"Alfonse","","Alfons"
"Alfonso","","+"
"Alfonzo's","","+"
"Alfred","","+"
"Alfredo","","al'fredo"
"Alfredson","",""
"Alfrege","","Alfreež"
"Alfrieda","",""
"ALFVEN","","+"
"Algado","",""
"Algalita","","algaalita"
"Algarve'i","",""
"Algecirase","",""
"Algernon","","äldsernon"
"Algo","","+"
"Algorta","","+"
"Algrenil","","+"
"Algusekäiku","",""
"Algusepoolel","","+"
"Algy","",""
"Alhaji","","alhadsi"
"Alhambra","","alambra"
"Alhondiga","","alondiga"
"Ali","","+"
"Ali","en","äli"
"Ali-nimeline","","äli-nimeline"
"Ali-Terrelli","",""
"Aliabadi","","alia'badi"
"Aliake","","+"
"Alianos","","aliaanos"
"alias'e","",""
"Alibari","",""
"Alicante","","+"
"Alice","","äliss"
"Alicia","","äliissia"
"Alicile","","älissile"
"Alidamiga","",""
"Alidamile","",""
"Alidamy","",""
"Alidoro","","alidooro"
"Alien","","eilien"
"Aligasin","","+"
"Älijev","","Äl'ijev"
"Alik","","+"
"Aliku","","+"
"Alilef","","+"
"ALIM","","+"
"ALIMŽAN","","alim'žan"
"Alin","",""
"Alina","","aliina"
"Aline","","Aliin"
"Alineast","","+"
"Aliona","",""
"Alios","","+"
"Alireza","",""
"Alisa","",""
"Alise","","Äliis"
"Ališer","","Ališeer"
"Alisha","",""
"Alison","","älisson"
"Alissa","","+"
"Alistair","","älisteer"
"Alistairgi","",""
"Alistar","",""
"Alive","","älaiv"
"Aljaksandr","","+"
"ALJAKSEI","","+"
"Aljohhina","",""
"Aljona","","al'jona"
"Aljonka","","+"
"Aljoša","","al'josha"
"Aljošenka","",""
"Aljošin","","Al'jošin"
"Aljoška","","Al'joška"
"Alka","","+"
"Alka-Seltzer","",""
"Alkaios","","Al'kaios"
"Alkajev","",""
"Alkaššide","",""
"Alkibiadese","",""
"Alkoholi-","","+"
"all","","+"
"all'aceto","",""
"all'onda","","+"
"All-õue","",""
"Allah","","+"
"Allahabadis","",""
"Allainn","","+"
"Allalinhorn","",""
"Allam","",""
"Allameh'","","+"
"ALLAN","","+"
"Allan-poiss","","+"
"Allanah","","Alanna"
"Allard","","allaard"
"Allardice","","ällardaiss"
"ALLAWI","","+"
"Allbright","","oolbrait"
"Allegheny","","Äli'geini"
"Allegra","","alleegra"
"Allegretto","","+"
"Allegro","","alleegro"
"Alleluia","",""
"Allen","","ällen"
"Allenby","","ällenbai"
"Allendet","",""
"Alléno","","alleeno"
"Allenson","",""
"Aller","","äller"
"Allergia-","","+"
"Allergikud","","+"
"Allerton","","ällerton"
"Alley","","ällii"
"Allez","","aleez"
"Allgemeines","",""
"Allgood","",""
"Allgrove","","oolgrouv"
"Alli","","älli"
"Alliage-kvintett","","alliaaž-kvintett"
"Alliance","",""
"Alliaria","",""
"Allik","","+"
"Allingham","","ällingham"
"Allington","","Ällington"
"Alliot-Marie","","älliot-marii"
"Alliser","",""
"Allison","","Älison"
"Allman","","oolmän"
"Allo","",""
"Allsop","","olsop"
"Allti","","all'ti"
"allun'd","","aluund"
"Allure","",""
"Ally","","'älli"
"Allyson","","ällisson"
"Alma","","+"
"Alma-Atas","","+"
"Alma-tädi","","+"
"Almagro","",""
"Almake","","+"
"Almakene","","+"
"Alman","",""
"Almano","","+"
"Almanzo","","+"
"Almanzy","","+"
"Almar","","+"
"Almatõ","","Almatõõ"
"Almeraci","",""
"Almeria","",""
"Almighty","","oolmaiti"
"Almina","",""
"Almira","","almiira"
"Almodõvar","","+"
"Almohaadide","","+"
"Almonti","","+"
"Almonzo","","+"
"Almoravidid","",""
"Almoraviidide","","+"
"Almotška","","'almotska"
"Alnabrus","",""
"Alnwick","","olnvik"
"Alo","","+"
"Aloha","","+"
"Alois","","aluaa"
"Aloisio","",""
"Alola","",""
"Alomar","",""
"Alone","","aloun"
"Along","","älong"
"Alonso","","+"
"Alopex","",""
"Alors","","aloo"
"Aloud","","älaud"
"Aloudi","","äloodi"
"Aloxe-Corton","","älox-corton"
"Aloysisus","",""
"Aloysius","","äloysius"
"Aloysus","",""
"Alpakade","",""
"Alpert","",""
"Alpes'i","",""
"Alpha","","alfa"
"Alpha-1","","alfa üks"
"Alpha-123","","alfa üks kaks kolm"
"Alpha-2","","alfa kaks"
"Alpha-3","","alfa kolm"
"Alpha-5le","","alfa viiele"
"Alphabet","","Alfabet"
"Alphonse","","alfons"
"Alpi-reisidel","",""
"Alpid","","+"
"Alpika-Service","",""
"Alpine","",""
"Alpo","",""
"Alprasolaami","","+"
"Alquizar","",""
"Alqvist","",""
"Alresford","",""
"Alright","","olrait"
"ALS","",""
"ALS-i","",""
"Alsace","","olseiss"
"Alselmo","","+"
"Alsgaardist","",""
"Also","","o'lsou"
"Altadena","","Alta'dena"
"Altai","","Al'tai"
"Altaire","","Altair"
"Altamont","","+"
"Altamurasse","","alta'murasse"
"Altdami","",""
"Altenberg","",""
"alter-Loise","","alter-lu'iis"
"Alterauto","","alter'auto"
"Alternatives","",""
"ALTHAM","","+"
"Althin","","+"
"Althoffi","",""
"Althropi","",""
"Altinözü","",""
"Altjal","","+"
"Alto","","+"
"Altokaltsifiilia","",""
"Altomünster","","+"
"Altona","","Altoona"
"Altona-Ottenseni","",""
"Altoni","",""
"Altrincham","","altrincham"
"Aludroxi","","+"
"Aluksne","","Aluuksne"
"Alumiiniumfosfiid","","+"
"Aluminum","",""
"Alun","","+"
"Aluni-sõber","","+"
"Aluni-sugusega","","+"
"alustame…","","+"
"Alutaguse","","alu'taguse"
"Alva","","+"
"Alvarado","","alvaraado"
"ALVAREZ","","+"
"Alvaro","","+"
"Alver","","+"
"Alverson","","+"
"Alvin","en","olvin"
"Alvin","","alvin"
"Alvis","","+"
"Alvis","en","olvis"
"Alvy","",""
"Alwardly","","ol'vuardli"
"Alway","","oolvuei"
"Alyce","","Aliis"
"Alycia","","aliitsia"
"Alyona","",""
"Alyosha","","aljosha"
"Alyson","","älisson"
"Alyssa","","+"
"Alžeeria","","+"
"Alzheimer","","alzhaimer"
"Alzheimeri-haigeid","",""
"Alzheimeri-haigele","","Alzhaimeri-haigele"
"Alzheimeri-haiget","","Alzhaimeri-haiget"
"Alzhemeri-haigeid","",""
"Alžiir","","+"
"Alzinger","","+"
"Alzira","",""
"Alzone","",""
"al…","","+"
"Am","",""
"AM-raadiole","",""
"Amada","",""
"Amadeo","","+"
"Amadeus","","+"
"Amadine","","Amadiin"
"Amadou","",""
"Amafu","",""
"Amagaju","",""
"Amageri","",""
"Amageris","",""
"Amaglobeli","",""
"Åmål","",""
"Amala","","amaala"
"Amalfi","","+"
"Amali","","+"
"Amalie","","amalii"
"AMALIENBORG","","ameelinborg"
"Amanata","",""
"Amanda","","Am'anda"
"Amanda-sugune","","+"
"Amandine","","Amandiin"
"Amandjit","",""
"Amandus","","+"
"Amanita","","amaniita"
"Amanjit","",""
"Amanjitti","",""
"Amanpour","",""
"Amar","","+"
"AMARASINGHAM","",""
"Amarcord","","+"
"Amaré","",""
"Ämari","","+"
"Ämarik","","+"
"Amarillo","","amariljo"
"Amaru","","+"
"Amaškinbõ","",""
"Amasoonia","","+"
"Amasya","","+"
"Amati","",""
"Amatöörikultus","","+"
"Amatriciana","",""
"Amatsooniüksus","",""
"Amatu","",""
"Amaury","","amoori"
"AMAZING","","ameising"
"Amazon","","+"
"Amazonas","","amasoonas"
"Amazoncom","","+"
"Amazoonia","","+"
"Ambalavanar","",""
"Ambarwar","","+"
"Ambassadeija","",""
"Ambassadeur","",""
"Ambassador","",""
"Amber","","ämber"
"Ambercrombyt","",""
"Amberson","",""
"AMBERSONID","",""
"Amberwar","","+"
"Ambieni","","ämbieni"
"Ambition","",""
"Ambitions","","äm'bishons"
"Amble","","ämbl"
"Ambo","",""
"Amborella'l","",""
"Amboseli","",""
"Ämbrimees","","+"
"Ämbritäite","","+"
"Ambrose","","ämbrous"
"Ambrosine","","ämbrosiin"
"Ambrosiuse","",""
"Ambrus","",""
"Ambukott","",""
"AMC","",""
"Amdale","","ämdeil"
"Ame'ga","",""
"Amédée","",""
"Ameerika","","+"
"Ameerika-hulluks","","+"
"Ameerika-kogemused","",""
"Ameerika-luuletus","",""
"Ameerika-meelne","",""
"Ameerika-ohu","","+"
"Ameerika-paranoia","",""
"Ameerika-reis","","+"
"Ameerika-sõiduks","","+"
"Ameerika-tüüpi","",""
"Ameerika-tuuriga","",""
"Ameerika-tuurile","",""
"Ameerika-vaenulikkus","","+"
"Ameerika-väline","","+"
"Ameerika-vastane","","+"
"Ameerika-vastase","","+"
"Ameerikalsed","",""
"Ameerikaski","","+"
"Ameeriklasi-jaapanlasi","","Ameerik'lasi-jaapanlasi"
"Amelia","","ameelia"
"Amelie","","amelii"
"Amelio","",""
"Amen","",""
"Amenas","",""
